"","VENTAS_CAT","COD_PERSONA","NUM_CONTRATO","PRODUCTO","IND_MOR","EXPOSURE","EAD_STD","EAD_DT","LGD_STD","LGD_DT","PD_TTC","M"
"1","<= 100",1820230,6.50009000000006e+21,"Mortgage",23,558509.54,558509.54,558509.54,0.35,0.45,0.032,4
"2","<= 100",2187825,6.51242000000002e+21,"Consumer Loan",30,49728.59,49728.59,49728.59,0.35,0.45,0.032,4
"3","<= 100",2896141,6.50067000000001e+21,"Consumer Loan",50,2323.33,2811.23,2323.33,0.35,0.45,0.032,4
"4","<= 100",2896141,6.50067000000001e+21,"Consumer Loan",50,44368.35,53685.7,44368.35,0.35,0.45,0.032,4
"5","<= 100",3654184,6.50032000000002e+21,"Consumer Loan",30,620646.63,620646.63,620646.63,0.35,0.45,0.032,4
"6","<= 100",3654184,6.50032000000002e+21,"Consumer Loan",30,432426.17,432426.17,432426.17,0.35,0.45,0.032,4
"7","<= 100",3654184,6.50032000000006e+21,"Mortgage",30,999868.77,999868.77,999868.77,0.35,0.45,0.032,4
"8","<= 100",4337662,6.50067000004e+21,"Consumer Loan",50,768408.78,768408.78,768408.78,0.35,0.45,0.032,4
"9","<= 100",4746211,6.51148000000002e+21,"Consumer Loan",30,84054.41,84054.41,84054.41,0.35,0.45,0.032,4
"10","<= 100",5022290,6.50315000000006e+21,"Mortgage",23,99723.31,99723.31,99723.31,0.35,0.45,0.032,4
"11","<= 100",5022290,6.50315000000006e+21,"Mortgage",23,170386.56,170386.56,170386.56,0.35,0.45,0.032,4
"12","<= 100",5227437,6.50145e+21,"Consumer Loan",23,1007106.92,1010518.55,1010518.55,0.35,0.45,0.032,4
"13","<= 100",5390850,6.50022000000006e+21,"Mortgage",20,172786.53,172786.53,172786.53,0.35,0.45,0.032,4
"15","<= 100",5544459,6.50067000000002e+21,"Consumer Loan",30,12012086.91,12012086.91,12012086.91,0.35,0.45,0.032,4
"16","<= 100",8647917,6.50062000000006e+21,"Mortgage",23,136990.56,136990.56,136990.56,0.35,0.45,0.032,4
"17","<= 100",8647917,6.50079000000006e+21,"Mortgage",23,1268151.92,1268151.92,1268151.92,0.35,0.45,0.032,4
"19","<= 100",9257519,6.50069e+21,"Consumer Loan",30,521000,521000,521000,0.35,0.45,0.032,4
"20","<= 100",9257519,6.50069e+21,"Consumer Loan",20,244664.92,244664.92,244664.92,0.35,0.45,0.032,4
"21","<= 100",9753486,6.51162000000002e+21,"Consumer Loan",23,284271.09,284271.09,284271.09,0.35,0.45,0.032,4
"22","<= 100",9775935,6.51107000000002e+21,"Consumer Loan",30,97711.76,97711.76,97711.76,0.35,0.45,0.032,4
"23","<= 100",10393900,6.59999458074082e+21,"Credit Card",20,936.57,936.57,936.57,0.35,0.45,0.032,4
"24","<= 100",10393900,6.59999458074082e+21,"Credit Card",20,1598.64,1598.64,1598.64,0.35,0.45,0.032,4
"25","<= 100",10478558,6.50302000000002e+21,"Consumer Loan",30,45088.92,45088.92,45088.92,0.35,0.45,0.032,4
"26","<= 100",10786325,6.59999458074045e+21,"Credit Card",20,37.42,37.42,37.42,0.35,0.45,0.032,4
"27","<= 100",11037423,6.50031000000002e+21,"Consumer Loan",30,138367.7,138367.7,138367.7,0.35,0.45,0.032,4
"28","<= 100",11083441,6.50051000000006e+21,"Mortgage",30,370075.73,370075.73,370075.73,0.35,0.45,0.032,4
"29","<= 100",11083441,6.50051000000006e+21,"Mortgage",30,2915209.95,2915209.95,2915209.95,0.35,0.45,0.032,4
"30","<= 100",11344172,6.50032000000002e+21,"Consumer Loan",30,69430.91,69430.91,69430.91,0.35,0.45,0.032,4
"32","<= 100",11606932,6.51630000000002e+21,"Consumer Loan",23,768801.2,768801.2,768801.2,0.35,0.45,0.032,4
"33","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,172486.18,172486.18,172486.18,0.35,0.45,0.032,4
"34","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,1181910.61,1181910.61,1181910.61,0.35,0.45,0.032,4
"35","<= 100",11892552,6.50050000000006e+21,"Mortgage",23,385600.78,385600.78,385600.78,0.35,0.45,0.032,4
"36","<= 100",11911646,6.50211000000002e+21,"Consumer Loan",30,80286.43,80286.43,80286.43,0.35,0.45,0.032,4
"37","<= 100",11986522,6.51382000000002e+21,"Consumer Loan",23,45280.08,45280.08,45280.08,0.35,0.45,0.032,4
"38","<= 100",12090239,6.5126e+21,"Consumer Loan",23,56728.21,56728.21,56728.21,0.35,0.45,0.032,4
"42","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",24,368900.15,368900.15,368900.15,0.35,0.45,0.032,4
"43","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",26,322195.99,322195.99,322195.99,0.35,0.45,0.032,4
"44","<= 100",12187275,6.51058000000002e+21,"Consumer Loan",26,2857407.92,2857407.92,2857407.92,0.35,0.45,0.032,4
"45","<= 100",12452238,6.51108000000002e+21,"Consumer Loan",23,218984.2,218984.2,218984.2,0.35,0.45,0.032,4
"46","<= 100",12521256,6.50019e+21,"Consumer Loan",23,107334.57,108733.1,108733.1,0.35,0.45,0.032,4
"47","<= 100",12521256,6.50019e+21,"Consumer Loan",23,174785.54,175068.1,175068.1,0.35,0.45,0.032,4
"48","<= 100",12586412,6.50003000000006e+21,"Mortgage",23,248507.86,248507.86,248507.86,0.35,0.45,0.032,4
"49","<= 100",12586412,6.50124000000006e+21,"Mortgage",23,171585.87,171585.87,171585.87,0.35,0.45,0.032,4
"50","<= 100",12619795,6.50065000000006e+21,"Mortgage",20,227112.35,227112.35,227112.35,0.35,0.45,0.032,4
"51","<= 100",12619795,6.50065000000006e+21,"Mortgage",20,330877.69,330877.69,330877.69,0.35,0.45,0.032,4
"52","<= 100",12637988,6.50146000000002e+21,"Consumer Loan",20,122441.86,122441.86,122441.86,0.35,0.45,0.032,4
"53","<= 100",12649120,6.50020000000201e+21,"Lease",20,597594.13,597594.13,597594.13,0.35,0.45,0.032,4
"54","<= 100",12726257,6.51058000000002e+21,"Consumer Loan",24,221439.27,221439.27,221439.27,0.35,0.45,0.032,4
"55","<= 100",12743054,6.50140000000006e+21,"Mortgage",23,284592.73,284592.73,284592.73,0.35,0.45,0.032,4
"56","<= 100",12865575,6.50211000000002e+21,"Consumer Loan",30,895.18,895.18,895.18,0.35,0.45,0.032,4
"57","<= 100",13046608,6.51279e+21,"Consumer Loan",30,48596.42,48596.42,48596.42,0.35,0.45,0.032,4
"58","<= 100",13087606,6.51248000000002e+21,"Consumer Loan",30,84612.6,84612.6,84612.6,0.35,0.45,0.032,4
"59","<= 100",13087606,6.51248000000002e+21,"Consumer Loan",30,367080.29,367080.29,367080.29,0.35,0.45,0.032,4
"60","<= 100",13094726,6.50046000000002e+21,"Consumer Loan",23,54671.97,54671.97,54671.97,0.35,0.45,0.032,4
"61","<= 100",13094726,6.59999458074055e+21,"Credit Card",23,2949.83,3000,3000,0.35,0.45,0.032,4
"62","<= 100",13094726,6.59999458074108e+21,"Credit Card",23,2962.2,3000,3000,0.35,0.45,0.032,4
"63","<= 100",13095488,6.50184000000002e+21,"Consumer Loan",23,2306423.12,2306423.12,2306423.12,0.35,0.45,0.032,4
"64",">250",13101889,6.50067000000001e+21,"Consumer Loan",23,1514895.38,1516726.79,1516726.79,0.25,0.3,0.064,4
"65","<= 100",13411608,6.50034000000002e+21,"Consumer Loan",23,631563.76,631563.76,631563.76,0.35,0.45,0.032,4
"66","<= 100",13411608,6.50034000000341e+21,"Lease",23,45521.99,45521.99,45521.99,0.35,0.45,0.032,4
"67","<= 100",13411608,6.50034000000341e+21,"Lease",23,45521.99,45521.99,45521.99,0.35,0.45,0.032,4
"68","<= 100",13411608,6.50034000000341e+21,"Lease",23,877201.55,877201.55,877201.55,0.35,0.45,0.032,4
"69","<= 100",13535447,6.50257000000006e+21,"Mortgage",30,47017.28,47017.28,47017.28,0.35,0.45,0.032,4
"70","<= 100",13644122,6.50105000000002e+21,"Consumer Loan",23,378756.97,378756.97,378756.97,0.35,0.45,0.032,4
"71","<= 100",13715178,6.51094e+21,"Consumer Loan",23,250499.18,250557.52,250557.52,0.35,0.45,0.032,4
"72","<= 100",13715178,6.51094000000002e+21,"Consumer Loan",23,212737.02,212737.02,212737.02,0.35,0.45,0.032,4
"73","<= 100",13779931,6.50205e+21,"Consumer Loan",20,1456301.7,1456301.7,1456301.7,0.35,0.45,0.032,4
"74","<= 100",13779931,6.50205000000002e+21,"Consumer Loan",20,35705.38,35705.38,35705.38,0.35,0.45,0.032,4
"75","<= 100",13938789,6.5119e+21,"Consumer Loan",20,419228.14,419228.14,419228.14,0.35,0.45,0.032,4
"76","(100, 250]",13985051,6.59999458074163e+21,"Credit Card",23,225.83,6000,6000,0.3,0.4,0.064,4
"77",">250",14001284,6.50142000000006e+21,"Mortgage",23,69259.8,69259.8,69259.8,0.25,0.3,0.064,4
"78","<= 100",14101637,6.50293e+21,"Consumer Loan",30,150876.03,150876.03,150876.03,0.35,0.45,0.032,4
"79","<= 100",14221209,6.50156000000002e+21,"Consumer Loan",24,50000,50000,50000,0.35,0.45,0.032,4
"80","<= 100",14221209,6.50156000000006e+21,"Mortgage",23,392682.73,392682.73,392682.73,0.35,0.45,0.032,4
"81","<= 100",14406128,6.51394000000006e+21,"Mortgage",30,459550.19,459550.19,459550.19,0.35,0.45,0.032,4
"82","<= 100",15069559,6.50134e+21,"Consumer Loan",30,12119733.23,12119733.23,12119733.23,0.35,0.45,0.032,4
"83","<= 100",15069559,6.50134000000006e+21,"Mortgage",23,2926237,2926237,2926237,0.35,0.45,0.032,4
"84","<= 100",15102475,6.50025000000006e+21,"Mortgage",23,95776.02,95776.02,95776.02,0.35,0.45,0.032,4
"85","<= 100",15102475,6.50025000000006e+21,"Mortgage",23,25199.29,25199.29,25199.29,0.35,0.45,0.032,4
"86","<= 100",15384136,6.50132e+21,"Consumer Loan",30,241292.17,241292.17,241292.17,0.35,0.45,0.032,4
"87","<= 100",15384136,6.50132e+21,"Consumer Loan",30,452480.77,452480.77,452480.77,0.35,0.45,0.032,4
"88","<= 100",15384136,6.50132000001321e+21,"Lease",30,4611,4611,4611,0.35,0.45,0.032,4
"89","<= 100",15520110,6.50114000000006e+21,"Consumer Loan",30,3391.17,3391.17,3391.17,0.35,0.45,0.032,4
